eq,N_train,noise_ratio,resample,repeat,train_wall_time,pred_wall_time,rel_L2_error
dawson,2,0.01,1,0,89.1875262260437,0.023839473724365234,219.28243405296323
dawson,4,0.01,1,0,91.15401196479797,0.002872943878173828,52.932152147733014
dawson,2,0.01,1,0,75.92463517189026,0.015162944793701172,306.8388076124857
dawson,4,0.01,1,0,115.31509494781494,0.0020613670349121094,42.28032839019195
dawson,20,0.01,1,0,117.5068666934967,0.016603469848632812,1.2559846633832912
dawson,5,0.01,1,0,129.32101583480835,0.008087873458862305,66.75238209452493
dawson,6,0.01,1,0,137.8165500164032,0.002467632293701172,30.506838164988288
dawson,13,0.01,1,0,147.12054800987244,0.0020437240600585938,2.6165834535002244
dawson,25,0.01,1,0,160.17858147621155,0.003237485885620117,0.9795235972899059
dawson,2,0.01,1,1,88.36325550079346,0.0006940364837646484,265.04817485776834
dawson,65,0.01,1,0,160.96374797821045,0.002226114273071289,0.6788320335046916
dawson,8,0.01,1,0,160.08080744743347,0.0020499229431152344,29.66998584337148
dawson,14,0.01,1,0,166.44482827186584,0.004548788070678711,3.6388211263073638
dawson,30,0.01,1,0,171.52233004570007,0.004931926727294922,0.9280116464926592
dawson,70,0.01,1,0,172.58790850639343,0.0018715858459472656,0.6043888749703441
dawson,19,0.01,1,0,177.50371432304382,0.002240419387817383,1.6664004320753898
dawson,7,0.01,1,0,172.92613101005554,0.003192424774169922,27.974502008927804
dawson,10,0.01,1,0,173.9523594379425,0.01244354248046875,16.779581258496005
dawson,40,0.01,1,0,187.20919036865234,0.0031578540802001953,0.7262885257363004
dawson,12,0.01,1,0,183.46900749206543,0.004123210906982422,9.425726639577807
dawson,60,0.01,1,0,185.4009563922882,0.0028357505798339844,0.6421774133348883
dawson,16,0.01,1,0,184.43077778816223,0.042851924896240234,2.3041327883975384
dawson,50,0.01,1,0,189.82937026023865,0.0054967403411865234,0.7254427378611541
dawson,9,0.01,1,0,186.07337951660156,0.003951311111450195,21.409946616199267
dawson,35,0.01,1,0,192.74058532714844,0.003076314926147461,0.7708080191200559
dawson,55,0.01,1,0,200.6616804599762,0.004067897796630859,0.6497784776935895
dawson,11,0.01,1,0,199.05361700057983,0.0029540061950683594,18.49738216689668
dawson,75,0.01,1,0,203.98778557777405,0.005854606628417969,0.5898225242247563
dawson,45,0.01,1,0,209.39583778381348,0.0033080577850341797,0.6433258550235064
dawson,17,0.01,1,0,231.82039093971252,0.015838146209716797,1.3917787028854736
dawson,3,0.01,1,0,245.96953511238098,0.01104879379272461,277.1017769993698
dawson,18,0.01,1,0,246.59870648384094,0.00963139533996582,1.503272055477686
dawson,4,0.01,1,1,135.700754404068,0.0007193088531494141,87.16945374852753
dawson,6,0.01,1,1,132.52627062797546,0.0007321834564208984,36.55070419911933
dawson,15,0.01,1,0,286.3677132129669,0.04810762405395508,2.3464871200786277
dawson,5,0.01,1,1,160.34958457946777,0.0007672309875488281,44.52861905422267
dawson,20,0.01,1,1,190.90694117546082,0.0008192062377929688,1.1161417341454245
dawson,7,0.01,1,1,143.26975917816162,0.0007789134979248047,23.075770125704448
dawson,8,0.01,1,1,163.00003480911255,0.0007803440093994141,24.360362151342084
dawson,10,0.01,1,1,171.52195167541504,0.0007946491241455078,11.145474848246199
dawson,65,0.01,1,1,195.35087370872498,0.0007550716400146484,0.6476930070080356
dawson,14,0.01,1,1,194.985102891922,0.0008351802825927734,1.9133542451712207
dawson,13,0.01,1,1,220.54273200035095,0.0007588863372802734,3.425496296674474
dawson,3,0.01,1,1,130.92026090621948,0.0007390975952148438,87.57033607356395
dawson,60,0.01,1,1,192.19747281074524,0.0007443428039550781,0.6912485968327826
dawson,9,0.01,1,1,189.91198301315308,0.0007867813110351562,35.43910523201122
dawson,35,0.01,1,1,191.2734935283661,0.0008456707000732422,0.7318401989262672
dawson,11,0.01,1,1,190.53741121292114,0.0007576942443847656,11.75809314465833
dawson,30,0.01,1,1,236.29874324798584,0.0008461475372314453,0.7311144804763559
dawson,5,0.01,1,2,115.72944712638855,0.0008192062377929688,132.32624711030394
dawson,50,0.01,1,1,221.0696005821228,0.0007719993591308594,0.6665192759784699
dawson,40,0.01,1,1,233.11790370941162,0.0007147789001464844,0.7194775691174597
dawson,12,0.01,1,1,232.59239840507507,0.0008289813995361328,4.931217671632935
dawson,75,0.01,1,1,224.38390445709229,0.0007522106170654297,0.6244207040103111
dawson,6,0.01,1,2,157.27698135375977,0.0007920265197753906,30.601353705561657
dawson,19,0.01,1,1,257.0960624217987,0.0008380413055419922,1.1627279834326436
dawson,2,0.01,1,2,275.53324127197266,0.000766754150390625,235.88503156355128
dawson,25,0.01,1,1,285.69256114959717,0.0008549690246582031,0.8773959648758937
dawson,55,0.01,1,1,246.8366448879242,0.0007219314575195312,0.6296767385099102
dawson,70,0.01,1,1,275.5696337223053,0.0008611679077148438,0.59672226035036
dawson,45,0.01,1,1,257.84246850013733,0.0008370876312255859,0.68757215617799
dawson,18,0.01,1,1,221.73159503936768,0.0008165836334228516,1.2206213290337677
dawson,16,0.01,1,1,287.5317392349243,0.0009064674377441406,2.008415961537641
dawson,8,0.01,1,2,150.90929198265076,0.0007836818695068359,13.456697824569098
dawson,17,0.01,1,1,242.96049737930298,0.0009539127349853516,1.3388448203471424
dawson,20,0.01,1,2,177.6400306224823,0.0007381439208984375,1.1327955798076823
dawson,15,0.01,1,1,201.46954989433289,0.0008146762847900391,1.6187496715186662
dawson,5,0.01,1,3,107.75133299827576,0.0007848739624023438,65.93541517206798
dawson,3,0.01,1,2,147.9712793827057,0.0007567405700683594,178.00846557261517
dawson,65,0.01,1,2,173.62814092636108,0.0007605552673339844,0.7066350537173318
dawson,7,0.01,1,2,214.4919662475586,0.0007936954498291016,52.356636808327416
dawson,6,0.01,1,3,126.18476891517639,0.0007710456848144531,35.01835035643352
